average_heartrate,average_speed,average_temp,average_watts,commute,distance,elapsed_time,elev_high,elev_low,has_heartrate,kilojoules,location_country,max_heartrate,max_speed,max_watts,moving_time,timezone,total_elevation_gain,weighted_average_watts,type_Hike,type_NordicSki,type_Ride,type_Run,type_Swim,type_Walk,type_Workout,athlete.sex_F,athlete.sex_M,distance_meters,calories,average_speed_mph,max_speed_mph
151.4,6.944,6.0,148.5,0,31972.0,77.15,726.4,582.8,1.0,683.9,Spain,208.0,17.8,,76.73333333333333,(GMT+01:00) Europe/Madrid,407.0,,0,0,1,0,0,0,0,0,1,19.866473612,163.4562034,15.53331136,39.81753200000001
137.4,8.01,26.0,131.6,0,30045.5,62.516666666666666,183.2,134.2,1.0,493.7,Italy,160.0,11.2,,62.516666666666666,(GMT+01:00) Europe/Rome,110.0,,0,0,1,0,0,0,0,0,1,18.6694023805,117.9972622,17.9178894,25.053728
137.2,5.904,,70.4,0,8206.7,25.083333333333332,56.0,31.1,1.0,97.8,United Kingdom,156.0,12.1,,23.166666666666668,(GMT+00:00) Europe/London,13.7,,0,0,1,0,0,0,0,1,0,5.099405385700001,23.3747868,13.20689376,27.066974000000002
174.3,11.173,15.0,350.3,0,13720.3,20.466666666666665,115.6,3.4,1.0,430.2,United Kingdom,181.0,17.8,,20.466666666666665,(GMT+00:00) Europe/London,182.0,,0,0,1,0,0,0,0,0,1,8.5253965313,102.8203812,24.993330620000002,39.81753200000001
106.3,1.075,,,0,7214.0,203.53333333333333,2425.4,2420.3,1.0,,United States,130.0,6.7,,111.81666666666666,(GMT-07:00) America/Denver,0.0,,0,0,0,0,0,1,0,0,1,4.482570394,,2.4047105,14.987498000000002
157.1,7.069,2.0,162.4,0,41671.8,100.75,287.0,149.2,1.0,957.4,United Kingdom,183.0,18.5,,98.25,(GMT+00:00) Europe/London,928.0,,0,0,1,0,0,0,0,1,0,25.893648037800002,228.8243444,15.812928860000001,41.383390000000006
162.3,4.1739999999999995,,,0,7513.6,30.683333333333334,17.0,-2.0,1.0,,United States,168.0,5.3,,30.0,(GMT-08:00) America/Los_Angeles,18.0,,0,0,0,1,0,0,0,0,1,4.6687331456,,9.336987559999999,11.855782
133.9,7.847,,,0,61213.9,149.78333333333333,384.0,363.0,1.0,,Netherlands,163.0,13.7,,130.01666666666668,(GMT+01:00) Europe/Amsterdam,160.0,,0,0,1,0,0,0,0,1,0,38.0365422569,,17.553268180000003,30.646078
112.4,5.669,16.0,67.7,0,20914.1,86.4,373.8,324.6,1.0,249.9,United States,136.0,9.3,,61.483333333333334,(GMT-08:00) America/Los_Angeles,99.7,,0,0,1,0,0,0,0,1,0,12.995415231099999,59.7275994,12.68121286,20.803542000000004
181.7,2.338,,69.4,0,5895.2,61.766666666666666,76.8,34.8,1.0,175.1,United States,197.0,8.1,,42.016666666666666,(GMT-05:00) America/New_York,108.2,,0,0,1,0,0,0,0,0,1,3.6631063191999997,41.8499506,5.229965720000001,18.119214
146.6,2.782,,,0,3344.5,20.066666666666666,1.2,-89.4,1.0,,Australia,157.0,5.4,,20.033333333333335,(GMT+10:00) Australia/Melbourne,91.0,,0,0,0,1,0,0,0,1,0,2.0781753095,,6.2231670800000005,12.079476000000001
145.9,3.0010000000000003,,,0,8958.7,56.4,40.5,26.7,1.0,,France,177.0,6.3,,49.75,(GMT+01:00) Europe/Paris,12.6,,0,0,0,1,0,0,0,0,1,5.5666763777,,6.713056940000001,14.092722
148.6,2.952,,,0,12237.1,69.68333333333334,520.3,499.4,1.0,,Germany,158.0,9.7,,69.1,(GMT+01:00) Europe/Berlin,43.9,,0,0,0,1,0,0,0,0,1,7.6037790641,,6.60344688,21.698318
109.6,6.349,22.0,183.0,0,21884.4,57.45,96.2,0.0,1.0,630.7,Australia,134.0,15.3,,57.45,(GMT+10:00) Australia/Sydney,448.7,,0,0,1,0,0,0,0,0,1,13.598331512400001,150.74108420000002,14.202332060000002,34.225182000000004
134.4,5.364,14.0,161.6,0,19997.9,62.43333333333333,409.8,315.0,1.0,602.3,United States,171.0,16.4,,62.13333333333333,(GMT-08:00) America/Los_Angeles,478.0,,0,0,1,0,0,0,0,0,1,12.4261151209,143.9533138,11.998946160000001,36.685816
151.6,6.0089999999999995,21.0,170.8,0,22226.8,61.65,29.6,-8.0,1.0,631.8,Norway,183.0,11.3,,61.65,(GMT+01:00) Europe/Oslo,202.0,,0,0,1,0,0,0,0,1,0,13.8110889428,151.0039908,13.44177246,25.277422000000005
152.5,2.9010000000000002,,,0,9955.2,57.28333333333333,13.3,1.0,1.0,,Netherlands,169.0,7.1,,57.2,(GMT+01:00) Europe/Amsterdam,10.1,,0,0,0,1,0,0,0,0,1,6.185872579200001,,6.489362940000001,15.882274
139.2,6.354,9.0,113.0,0,23546.3,84.2,90.2,28.0,1.0,418.8,United Kingdom,157.0,10.5,,61.766666666666666,(GMT+00:00) Europe/London,190.0,,0,0,1,0,0,0,0,1,0,14.6309879773,100.0957128,14.213516760000001,23.48787
142.7,4.416,,312.3,0,22796.0,149.16666666666666,734.7,29.0,1.0,1612.2,Taiwan,169.0,10.5,,86.03333333333333,(GMT+08:00) Asia/Taipei,2632.2,,0,0,1,0,0,0,0,0,1,14.164773316,385.32547320000003,9.878327040000002,23.48787
151.8,7.015,,,0,74649.2,245.35,88.2,17.4,1.0,,Singapore,191.0,14.0,,177.35,(GMT+08:00) Asia/Singapore,774.0,,0,0,1,0,0,0,0,1,0,46.3848480532,,15.6921341,31.31716
150.0,4.7139999999999995,20.0,131.6,0,39579.0,159.11666666666667,405.0,57.6,1.0,1104.7,South Africa,184.0,14.8,,139.93333333333334,(GMT+02:00) Africa/Johannesburg,904.0,,0,0,1,0,0,0,0,1,0,24.593242809,264.02992820000003,10.54493516,33.106712
121.9,6.257999999999999,,,0,20646.1,70.08333333333333,108.0,32.0,1.0,,Belgium,172.0,12.2,,54.983333333333334,(GMT+01:00) Europe/Brussels,195.0,,0,0,1,0,0,0,0,0,1,12.828887803099999,,13.998770519999999,27.290668
127.2,6.92,,79.0,0,29872.6,117.48333333333333,637.7,573.0,1.0,341.1,Spain,154.0,11.8,,71.95,(GMT+01:00) Europe/Madrid,90.0,,0,0,1,0,0,0,0,1,0,18.5619673346,81.5249466,15.479624800000002,26.395892000000003
148.7,2.399,,,0,5152.4,35.8,146.2,146.2,1.0,,United States,166.0,2.5,,35.8,(GMT-08:00) America/Los_Angeles,0.0,,0,0,0,1,0,0,0,1,0,3.2015519404,,5.36641906,5.592350000000001
131.3,7.023,,127.8,1,7430.3,20.516666666666666,77.8,32.9,1.0,135.2,United Kingdom,153.0,12.3,,17.633333333333333,(GMT+00:00) Europe/London,66.1,,0,0,1,0,0,0,0,0,1,4.6169729413,32.3136112,15.71002962,27.514362000000002
110.0,1.506,,,0,7176.9,88.16666666666667,89.7,37.3,1.0,,United States,156.0,3.4,,79.45,(GMT-05:00) America/New_York,86.4,,0,0,0,1,0,0,0,0,1,4.4595175299,,3.3688316400000002,7.605596
145.0,7.251,10.0,143.0,0,28059.6,65.63333333333334,104.4,12.0,1.0,553.3,United Kingdom,166.0,14.8,,64.5,(GMT+00:00) Europe/London,263.0,,0,0,1,0,0,0,0,0,1,17.4354217116,132.24201979999998,16.22005194,33.106712
135.5,2.682,,,0,7253.7,54.8,206.0,152.4,1.0,,United States,148.0,3.7,,45.083333333333336,(GMT-06:00) America/Chicago,53.8,,0,0,0,1,0,0,0,1,0,4.5072388227,,5.9994730800000005,8.276678
141.6,7.912999999999999,16.0,176.5,0,36678.7,132.41666666666666,27.6,-91.2,1.0,818.3,Australia,176.0,16.7,,77.25,(GMT+10:00) Australia/Brisbane,384.0,,0,0,1,0,0,0,0,0,1,22.791080497699998,195.57860979999998,17.70090622,37.356898
136.1,8.308,,171.3,0,41987.7,88.43333333333334,232.1,156.7,1.0,865.7,United States,168.0,17.6,,84.23333333333333,(GMT-05:00) America/New_York,379.2,,0,0,1,0,0,0,0,1,0,26.0899391367,206.9074942,18.58449752,39.370144
133.9,8.088,,146.2,0,74897.3,162.91666666666666,74.8,-37.8,1.0,1353.5,Canada,163.0,13.8,,154.33333333333334,(GMT-05:00) America/Montreal,325.4,,0,0,1,0,0,0,0,0,1,46.539010198300005,323.494621,18.092370719999998,30.869772000000005
156.0,4.966,20.0,132.9,0,25195.0,88.23333333333333,57.6,-5.0,1.0,674.2,United Kingdom,180.0,13.5,,84.56666666666666,(GMT+00:00) Europe/London,190.0,,0,0,1,0,0,0,0,1,0,15.655442345,161.13784520000002,11.108644040000001,30.198690000000003
145.0,2.9189999999999996,,,0,4599.8,33.46666666666667,95.4,63.0,1.0,,United Kingdom,172.0,5.6,,26.266666666666666,(GMT+00:00) Europe/London,43.3,,0,0,0,1,0,0,0,1,0,2.8581823258,,6.52962786,12.526864
161.8,2.6289999999999996,,,0,7184.4,48.0,55.8,24.9,,,France,172.0,10.2,,45.55,(GMT+01:00) Europe/Paris,82.2,,0,0,0,1,0,0,0,0,1,4.4641778124,,5.880915259999999,22.816788
142.6,4.088,11.0,109.4,0,28483.2,129.63333333333333,146.0,61.2,1.0,762.4,Australia,185.0,10.3,,116.13333333333334,(GMT+10:00) Australia/Melbourne,323.0,,0,0,1,0,0,0,0,0,1,17.6986344672,182.21817439999998,9.144610720000001,23.040482000000004
69.0,8.017999999999999,21.0,181.9,0,50265.6,105.01666666666667,1757.5,1621.9,1.0,1140.3,United States,147.0,16.5,,104.48333333333333,(GMT-07:00) America/Denver,351.5,,0,0,1,0,0,0,0,0,1,31.2335861376,272.53854179999996,17.93578492,36.909510000000004
92.8,1.5190000000000001,,,0,1852.6,37.96666666666667,102.8,67.9,1.0,,Australia,116.0,1.7,,20.333333333333332,(GMT+10:00) Australia/Sydney,31.4,,0,0,0,1,0,0,0,1,0,1.1511519146,,3.3979118600000007,3.802798
152.0,3.216,,,0,3280.3,17.233333333333334,31.0,14.0,1.0,,United States,174.0,3.9,,17.0,(GMT-08:00) America/Los_Angeles,16.7,,0,0,0,1,0,0,0,1,0,2.0382832913,,7.193999040000001,8.724066
151.0,8.304,,165.2,0,36754.3,74.66666666666667,71.1,24.1,1.0,731.1,United Kingdom,182.0,14.5,,73.76666666666667,(GMT+00:00) Europe/London,163.9,,0,0,1,0,0,0,0,0,1,22.8380561453,174.7372866,18.57554976,32.43563
148.1,3.2960000000000003,26.0,88.3,0,10168.3,57.666666666666664,120.2,41.4,1.0,272.5,Australia,193.0,10.9,,51.416666666666664,(GMT+10:00) Australia/Sydney,260.0,,0,0,1,0,0,0,0,1,0,6.3182867392999995,65.129135,7.372954240000001,24.382646
146.7,3.196,,,0,7749.9,40.5,257.4,210.2,1.0,,France,162.0,4.2,,40.416666666666664,(GMT+01:00) Europe/Paris,98.0,,0,0,0,1,0,0,0,0,1,4.8155631129,,7.149260240000001,9.395148
166.3,2.852,,,0,6004.4,35.18333333333333,1061.4,1051.0,1.0,,Canada,174.0,6.4,,35.083333333333336,(GMT-07:00) America/Edmonton,0.0,,0,0,0,1,0,0,0,1,0,3.7309600323999996,,6.37975288,14.316416000000002
120.2,6.329,,118.9,0,4797.6,15.083333333333334,23.2,17.4,1.0,90.1,United Kingdom,135.0,9.6,,12.633333333333333,(GMT+00:00) Europe/London,8.0,,0,0,1,0,0,0,0,0,1,2.9810895096000003,21.5344406,14.15759326,21.474624000000002
147.2,8.253,9.0,160.4,0,63546.8,143.26666666666668,68.0,5.8,1.0,1235.1,New Zealand,189.0,12.2,,128.33333333333334,(GMT+12:00) Pacific/Auckland,115.5,,0,0,1,0,0,0,0,0,1,39.4861386628,295.19631059999995,18.46146582,27.290668
179.6,2.6519999999999997,,,0,10306.0,64.76666666666667,17.8,7.8,1.0,,United Kingdom,188.0,5.8,,64.76666666666667,(GMT+00:00) Europe/London,0.0,,0,0,0,1,0,0,0,1,0,6.403849526,,5.93236488,12.974252
121.2,6.946000000000001,25.0,117.4,0,38459.7,98.36666666666666,161.8,85.6,1.0,649.8,Germany,184.0,14.4,,92.28333333333333,(GMT+01:00) Europe/Berlin,310.0,,0,0,1,0,0,0,0,0,1,23.8977422487,155.3060988,15.537785240000002,32.211936
155.5,3.867,,,0,5007.3,21.583333333333332,38.2,27.0,1.0,,France,178.0,5.1,,21.583333333333332,(GMT+01:00) Europe/Paris,20.9,,0,0,0,1,0,0,0,0,1,3.1113910083,,8.65024698,11.408394
149.7,3.426,,,0,7831.9,61.35,202.9,82.6,1.0,,United States,168.0,4.7,,38.1,(GMT-08:00) America/Los_Angeles,451.5,,0,0,0,1,0,0,0,0,1,4.8665155348999996,,7.663756440000001,10.513618000000001
149.9,1.359,,,0,5985.2,80.33333333333333,2479.9,1743.5,1.0,,United States,174.0,3.3,,73.4,(GMT-07:00) America/Denver,729.0,,0,0,0,1,0,0,0,0,1,3.7190297092,,3.04000146,7.381902
155.3,3.4619999999999997,,,0,4016.0,19.7,117.9,86.3,1.0,,Lithuania,167.0,4.1,,19.333333333333332,(GMT+02:00) Europe/Vilnius,30.9,,0,0,0,1,0,0,0,0,1,2.495425936,,7.74428628,9.171454
141.2,6.057,8.0,133.1,0,37834.9,109.93333333333334,143.2,-55.8,1.0,831.3,United States,180.0,17.8,683.0,104.1,(GMT-08:00) America/Los_Angeles,709.0,158.0,0,0,1,0,0,0,0,1,0,23.5095096479,198.68568779999998,13.549145580000001,39.81753200000001
145.1,5.817,26.0,120.6,0,68593.6,266.05,48.2,-24.6,1.0,1422.4,Thailand,180.0,17.9,,196.53333333333333,(GMT+07:00) Asia/Bangkok,746.0,,0,0,1,0,0,0,0,0,1,42.622073825600005,339.9621344,13.01227998,40.041226
120.6,2.6630000000000003,,,0,8253.8,58.88333333333333,18.7,7.0,1.0,,United States,138.0,3.9,,51.666666666666664,(GMT-08:00) America/Los_Angeles,0.0,,0,0,0,1,0,0,0,0,1,5.128671959799999,,5.956971220000001,8.724066
153.7,2.112,,,0,2823.9,25.0,8.0,3.9,1.0,,United States,175.0,3.5,,22.283333333333335,(GMT-05:00) America/New_York,0.0,,0,0,0,1,0,0,0,0,1,1.7546895669,,4.724417280000001,7.82929
117.6,5.811,17.0,90.3,0,52376.7,226.0,167.2,39.6,1.0,814.4,United States,179.0,14.9,566.0,150.23333333333332,(GMT-05:00) America/New_York,650.0,115.0,0,0,1,0,0,0,0,0,1,32.5453624557,194.6464864,12.99885834,33.330406
105.1,1.4569999999999999,,,0,5077.0,60.583333333333336,37.6,5.4,1.0,,Australia,125.0,3.0,,58.06666666666667,(GMT+10:00) Australia/Sydney,49.0,,0,0,0,1,0,0,0,1,0,3.154700567,,3.2592215799999997,6.71082
143.4,3.674,,,0,11390.5,51.666666666666664,200.4,129.6,1.0,,United Kingdom,159.0,5.8,,51.666666666666664,(GMT+00:00) Europe/London,104.2,,0,0,0,1,0,0,0,0,1,7.0777263755,,8.21851756,12.974252
133.6,7.011,,103.4,0,8750.1,20.8,136.4,79.6,1.0,129.1,United Kingdom,161.0,10.9,,20.8,(GMT+00:00) Europe/London,36.9,,0,0,1,0,0,0,0,0,1,5.4370583871000004,30.855674599999997,15.68318634,24.382646
135.9,2.355,,,0,24209.9,178.36666666666667,39.5,0.3,1.0,,Guernsey,206.0,3.1,,171.33333333333334,(GMT+00:00) Europe/Guernsey,209.6,,0,0,0,1,0,0,0,1,0,15.043329772900002,,5.2679937,6.934514000000001
134.5,7.91,,180.2,0,78610.0,170.76666666666668,788.1,436.9,1.0,1790.7,Switzerland,163.0,16.1,,165.63333333333333,(GMT+01:00) Europe/Zurich,871.8,,0,0,1,0,0,0,0,0,1,48.84597431,427.9880442,17.6941954,36.014734000000004
129.1,9.586,25.0,199.7,0,24138.3,42.583333333333336,93.0,84.8,1.0,502.8,United States,156.0,12.7,,41.96666666666667,(GMT-05:00) America/New_York,4.0,,0,0,1,0,0,0,0,0,1,14.9988396093,120.1722168,21.44330684,28.409138
139.6,7.361000000000001,14.0,109.3,0,77513.8,180.06666666666666,58.4,17.2,1.0,1151.5,Ireland,163.0,11.5,,175.51666666666668,(GMT+00:00) Europe/Dublin,324.0,,0,0,1,0,0,0,0,0,1,48.164827419800005,275.215409,16.46611534,25.72481
135.1,7.99,21.0,139.9,0,25095.6,73.06666666666666,379.8,350.0,1.0,439.4,United States,151.0,11.3,,52.35,(GMT-06:00) America/Chicago,90.0,,0,0,1,0,0,0,0,0,1,15.593678067599999,105.0192364,17.873150600000002,25.277422000000005
154.5,7.855,20.0,156.6,0,40217.3,85.33333333333333,45.4,-1.4,1.0,802.0,United Kingdom,173.0,16.0,,85.33333333333333,(GMT+00:00) Europe/London,466.0,,0,0,1,0,0,0,0,0,1,24.989863918300003,191.68281199999998,17.571163700000003,35.79104
155.7,5.8020000000000005,,104.0,0,22072.4,79.7,1963.4,1668.0,1.0,395.8,United States,181.0,15.0,,63.4,(GMT-07:00) America/Denver,375.0,,0,0,1,0,0,0,0,1,0,13.7151492604,94.5985748,12.978725880000002,33.554100000000005
129.3,4.843999999999999,,147.5,0,9241.4,31.8,300.0,155.0,1.0,281.5,Portugal,156.0,15.0,,31.8,(GMT+00:00) Europe/Lisbon,205.0,,0,0,1,0,0,0,0,0,1,5.7423379593999995,67.280189,10.83573736,33.554100000000005
151.0,2.9339999999999997,22.0,78.1,0,26044.7,157.13333333333333,553.4,347.0,1.0,693.0,Canada,177.0,12.2,,147.95,(GMT-05:00) America/Toronto,574.0,,0,0,1,0,0,0,0,0,1,16.1834212837,165.631158,6.56318196,27.290668
150.2,7.602,15.0,130.1,0,16215.5,47.516666666666666,106.8,67.6,1.0,277.6,Denmark,175.0,12.7,,35.55,(GMT+01:00) Europe/Copenhagen,108.0,,0,0,1,0,0,0,0,0,1,10.0758414505,66.3480656,17.005217880000004,28.409138
151.3,2.291,,,0,11763.3,87.71666666666667,327.1,285.8,1.0,,Germany,192.0,5.0,,85.58333333333333,(GMT+01:00) Europe/Berlin,55.7,,0,0,0,1,0,0,0,1,0,7.3093734843,,5.12482954,11.184700000000001
146.3,8.485,22.0,230.5,0,26322.0,51.7,112.2,10.0,1.0,715.0,Spain,165.0,16.6,,51.7,(GMT+01:00) Europe/Madrid,474.7,,0,0,1,0,0,0,0,0,1,16.355727462,170.88929,18.9804359,37.133204000000006
161.8,3.165,,,0,6482.3,39.766666666666666,74.3,33.6,1.0,,United States,185.0,4.4,,34.13333333333333,(GMT-08:00) America/Los_Angeles,99.5,,0,0,0,1,0,0,0,1,0,4.0279132333000005,,7.079915100000001,9.842536
173.5,10.067,,230.2,0,44184.4,73.48333333333333,194.4,99.8,1.0,1010.3,United Kingdom,191.0,15.3,,73.15,(GMT+00:00) Europe/London,199.4,,0,0,1,0,0,0,0,0,1,27.454904812400002,241.46776179999998,22.519274980000002,34.225182000000004
163.1,8.077,5.0,172.4,0,31153.6,64.78333333333333,40.0,-19.4,,664.9,Australia,196.0,16.5,,64.28333333333333,(GMT+10:00) Australia/Brisbane,262.0,,0,0,1,0,0,0,0,0,1,19.3579435856,158.9150894,18.06776438,36.909510000000004
142.0,3.9810000000000003,14.0,147.0,0,44136.2,209.28333333333333,1130.0,634.8,1.0,1629.9,United States,188.0,15.9,,184.78333333333333,(GMT-05:00) America/New_York,820.0,,0,0,1,0,0,0,0,0,1,27.4249547302,389.55587940000004,8.90525814,35.567346
117.5,8.025,13.0,162.2,0,47024.8,98.91666666666667,907.0,794.2,1.0,950.4,Spain,143.0,14.7,440.0,97.66666666666667,(GMT+01:00) Europe/Madrid,320.0,172.0,0,0,1,0,0,0,0,0,1,29.2198470008,227.1513024,17.951443500000003,32.883018
139.0,5.207000000000001,19.0,81.6,0,68076.4,231.91666666666666,606.8,14.6,1.0,1067.3,United States,167.0,19.6,319.0,217.91666666666666,(GMT-08:00) America/Los_Angeles,1247.0,88.0,0,0,1,0,0,0,0,1,0,42.3007007444,255.09110379999998,11.647746580000003,43.844024000000005
120.9,7.095,33.0,105.6,0,40550.5,119.61666666666666,475.4,409.0,1.0,603.2,United States,152.0,11.7,,95.25,(GMT-07:00) America/Phoenix,129.0,,0,0,1,0,0,0,0,0,1,25.196904735500002,144.16841920000002,15.871089300000001,26.172198
158.5,3.387,32.0,134.5,0,23200.7,114.48333333333333,1585.4,735.6,1.0,921.4,United States,173.0,12.4,,114.16666666666667,(GMT-08:00) America/Los_Angeles,863.0,,0,0,1,0,0,0,0,0,1,14.416242159700001,220.2201284,7.57651578,27.738056000000004
141.1,6.644,18.0,122.6,0,26521.0,71.61666666666666,65.0,-2.4,1.0,489.4,United Kingdom,171.0,11.6,,66.53333333333333,(GMT+00:00) Europe/London,141.0,,0,0,1,0,0,0,0,0,1,16.479380291000002,116.9695364,14.86222936,25.948504
133.1,3.523,,,0,14388.7,90.1,95.3,62.3,1.0,,France,214.0,5.9,,68.06666666666666,(GMT+01:00) Europe/Paris,88.7,,0,0,0,1,0,0,0,0,1,8.940720907700001,,7.880739620000001,13.197946000000002
150.3,4.921,20.0,66.5,0,8951.7,30.316666666666666,1263.0,1210.2,1.0,,South Africa,192.0,5.6,,30.316666666666666,(GMT+02:00) Africa/Johannesburg,0.0,,0,0,1,0,0,0,0,0,1,5.5623267807,,11.007981740000002,12.526864
126.8,6.653,14.0,113.5,0,58227.4,153.55,119.8,7.4,1.0,993.6,Spain,158.0,14.2,,145.86666666666667,(GMT+01:00) Europe/Madrid,417.0,,0,0,1,0,0,0,0,0,1,36.1808177654,237.4763616,14.88236182,31.764548
177.0,2.97,,,0,16131.3,99.68333333333334,78.3,28.3,1.0,,United States,190.0,4.6,,90.53333333333333,(GMT-05:00) America/New_York,93.5,,0,0,0,1,0,0,0,1,0,10.023522012299999,,6.643711800000001,10.289924
140.5,3.543,,,0,11340.8,55.43333333333333,328.3,286.8,1.0,,United States,162.0,4.9,,53.35,(GMT-08:00) America/Los_Angeles,62.0,,0,0,0,1,0,0,0,0,1,7.046844236799999,,7.925478420000001,10.961006000000001
161.6,6.35,21.0,137.0,0,49041.8,174.23333333333332,156.2,1.6,1.0,1058.3,Australia,190.0,13.6,745.0,128.71666666666667,(GMT+10:00) Australia/Hobart,521.0,165.0,0,0,1,0,0,0,0,0,1,30.473152307800003,252.9400498,14.204569,30.422384
156.7,8.961,17.0,165.9,0,32231.6,65.9,1438.4,1412.6,1.0,596.6,United States,173.0,14.3,355.0,59.95,(GMT-07:00) America/Boise,56.0,170.0,0,0,1,0,0,0,0,1,0,20.027781523599998,142.5909796,20.045219340000003,31.988242000000003
137.9,6.4879999999999995,4.0,208.5,0,33023.2,86.66666666666667,15.6,-51.4,1.0,1061.2,United Kingdom,170.0,10.4,,84.83333333333333,(GMT+00:00) Europe/London,197.0,,0,0,1,0,0,0,0,1,0,20.5196588072,253.6331672,14.51326672,23.264176000000003
155.0,2.269,,,0,5873.4,43.15,1.0,-6.6,1.0,,Netherlands,182.0,4.4,,43.15,(GMT+01:00) Europe/Amsterdam,0.0,,0,0,0,1,0,0,0,0,1,3.6495604314,,5.07561686,9.842536
158.0,2.487,,,0,6129.3,48.8,19.2,12.2,1.0,,Australia,175.0,3.5,,41.083333333333336,(GMT+10:00) Australia/Sydney,6.0,,0,0,0,1,0,0,0,1,0,3.8085692703,,5.563269780000001,7.82929
147.1,9.98,2.0,225.1,0,68660.2,114.66666666666667,20.8,14.2,1.0,1548.8,Denmark,164.0,11.8,,114.66666666666667,(GMT+01:00) Europe/Copenhagen,7.0,,0,0,1,0,0,0,0,0,1,42.6634571342,370.1724928,22.3246612,26.395892000000003
84.4,7.765,23.0,124.9,0,72740.4,158.78333333333333,78.0,3.1,1.0,1170.0,United Kingdom,111.0,15.9,,156.13333333333333,(GMT+00:00) Europe/London,199.9,,0,0,1,0,0,0,0,0,1,45.1987750884,279.63702,17.3698391,35.567346
139.1,4.458,16.0,134.0,0,50213.8,195.98333333333332,139.2,8.8,1.0,1508.8,Australia,170.0,9.6,,187.71666666666667,(GMT+10:00) Australia/Brisbane,1072.0,,0,0,1,0,0,0,0,1,0,31.2013991198,360.61225279999996,9.972278520000001,21.474624000000002
155.3,2.8289999999999997,,,0,14005.7,120.83333333333333,60.3,31.6,1.0,,France,169.0,4.4,,82.5,(GMT+01:00) Europe/Paris,68.3,,0,0,0,1,0,0,0,1,0,8.7027358147,,6.32830326,9.842536
